luminary,star; light-giving body
mesmerize,hypnotize
introvert,one who turns towards himself
spear,weapon with a metal point on a long shaft
indulgent,inclined to indulge
edible,fit to be eaten/not poisonous
predominate,have more power than others
ambidextrous,able to use the left hand or the right equally well
evoke,call up bring out
enigma,something that is puzzling
limp,lacking strength; walking unevenly
precursors,a person or thing that precedes, as in a process or job."
calipers,metal supports attached to the legs measuring instrument
affinity,close connection; relationship
sequence,succession connected line of
asterisk,the mark * (e.g.. omitted letters)
complaisant,trying to please; obliging
perjury,willful FALSE statement unlawful act
foster,nurture; care for
misanthrope,person who hates mankind
bogus,sham; counterfeit; not genuine
solvent,of the power of forming a solution
mite,A very small amount, portion, or particle"
fragrant,sweet-smelling
nihilism,total rejection of all religious and moral beliefs
impermeable,that cannot be permeated
legacy,Bequest or inheritance
reiterate,say or do again several times
suffocate,cause or have difficulty in breathing
endeavor,to make an effort, to try very hard"
liberality,free giving; generosity
abhor,to hate; to detest
salvage,the saving of property from loss
mischievous,harmful; causing mischief
conceal,hide keep secret
cumbersome,burdensome; heavy and awkward to carry
presentiment,anticipatory fear; premonition
dangle,hand or swing loosely
conjoin,to join together
endorse,write one's name on the back of
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
introspection,examining one's own thoughts and feelings
fission,splitting or division (esp. of cells)
warrant,authority written order guarantee
gallant,brave,behaves well with women"
gerontocracy,government ruled by old people
superimpose,put something on the top
sawdust,tiny bits of wood
renowned,celebrated; famous
perish,be destroyed decay
sporadic,happening from time to time
derivative,unoriginal; obtained from another source
writ,written order
colloquial,involving or using conversation.
retrograde,receding
eulogy,formal praise panegyric
paradigm,a model example or pattern
constrict,make tight or smaller
reminiscent,suggest something in the past
appease,make quiet or calm
eradicate,get rid of pull up by the roots
pertain,belong as a part have reference
ossified,turned to bone; hardened like bone; Inflexible
philanthropist,one who loves mankind
sanity,health of mind soundness of judgment
reconcile,settle a quarrel restore peace
recuperate,become strong after illness loss exhaustion
turmoil,trouble disturbance
